# AcneSafeCheck — full comedogenic ingredient database

> The complete AcneSafeCheck database: 559 cosmetic ingredients, each with a comedogenicity
> rating (0 = non-comedogenic / acne safe … 5 = highly pore-clogging) and a fungal-acne
> (Malassezia) trigger flag. Compiled from published comedogenicity references (Fulton et al.
> 1984, PMID 6229554; Draelos & DiNardo 2006, PMID 16488305; AAD guidance). A rating reflects
> an ingredient's potential at high concentration, not a verdict on any finished formula.
> Licence: CC BY 4.0 — cite acnesafecheck.com. Machine-readable: https://acnesafecheck.com/data/acnesafecheck-ingredients.json and .csv. Docs: https://acnesafecheck.com/data.html

Last updated: 2026-07-02

Format: Name | rating/5 | category | fungal-acne trigger yes/no | detail page
Caprylhydroxamic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/caprylhydroxamic-acid.html
Caprylic/Capric Triglyceride | 1/5 | Ester | FA-trigger: no | https://acnesafecheck.com/ingredient/caprylic-capric-triglyceride.html
Caprylyl Glycol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/caprylyl-glycol.html
Carbomer | 0/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/carbomer.html
Cardamom Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cardamom-extract.html
Carica Papaya Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/carica-papaya-fruit-extract.html
Carnauba Wax | 1/5 | Wax | FA-trigger: no | https://acnesafecheck.com/ingredient/carnauba-wax.html
Carnosine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/carnosine.html
Carrageenan | 5/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/carrageenan.html
Carrot Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/carrot-extract.html
Castor Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/castor-oil.html
Cedarwood Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cedarwood-extract.html
Celery Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/celery-extract.html
Cellulose Gum | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/cellulose-gum.html
Centaurea Cyanus Flower Water | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/centaurea-cyanus-flower-water.html
Centella Asiatica Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/centella-asiatica-extract.html
Ceteareth-20 | 4/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/ceteareth-20.html
Ceteareth-25 | 2/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/ceteareth-25.html
Cetearyl Alcohol | 2/5 | Fatty alcohol | FA-trigger: yes | https://acnesafecheck.com/ingredient/cetearyl-alcohol.html
Cetearyl Ethylhexanoate | 1/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/cetearyl-ethylhexanoate.html
Cetearyl Glucoside | 0/5 | Emulsifier | FA-trigger: no | https://acnesafecheck.com/ingredient/cetearyl-glucoside.html
Cetyl Acetate | 3/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/cetyl-acetate.html
Cetyl Alcohol | 2/5 | Fatty alcohol | FA-trigger: yes | https://acnesafecheck.com/ingredient/cetyl-alcohol.html
Cha de Bugre Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cha-de-bugre-extract.html
Chamomile Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/chamomile-extract.html
Chamomilla Recutita Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/chamomilla-recutita-flower-extract.html
Charcoal | 0/5 | Misc | FA-trigger: no | https://acnesafecheck.com/ingredient/charcoal.html
Chickweed Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/chickweed-extract.html
Chlorella Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/chlorella-extract.html
Chlorphenesin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/chlorphenesin.html
Cica | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cica.html
Cilantro Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cilantro-extract.html
Cinnamon Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cinnamon-extract.html
Citric Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/citric-acid.html
Citrus Limon Peel Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/citrus-limon-peel-extract.html
Cleavers Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cleavers-extract.html
Clove Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/clove-extract.html
Cocamidopropyl Betaine | 1/5 | Surfactant | FA-trigger: no | https://acnesafecheck.com/ingredient/cocamidopropyl-betaine.html
Coco-Caprylate | 1/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/coco-caprylate.html
Coco-Glucoside | 0/5 | Surfactant | FA-trigger: no | https://acnesafecheck.com/ingredient/coco-glucoside.html
Cocoa Butter | 4/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/cocoa-butter.html
Cocoa Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cocoa-extract.html
Coconut Alkanes | 3/5 | Oil | FA-trigger: no | https://acnesafecheck.com/ingredient/coconut-alkanes.html
Coconut Butter | 4/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/coconut-butter.html
Coconut Oil | 4/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/coconut-oil.html
Coenzyme Q10 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/coenzyme-q10.html
Coffea Arabica Seed Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/coffea-arabica-seed-extract.html
Coffee Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/coffee-extract.html
Collagen | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/collagen.html
Colloidal Oatmeal | 0/5 | Soothing | FA-trigger: no | https://acnesafecheck.com/ingredient/colloidal-oatmeal.html
Comfrey Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/comfrey-extract.html
Copper PCA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/copper-pca.html
Copper Tripeptide-1 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/copper-tripeptide-1.html
Corn Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/corn-oil.html
Corn Starch | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/corn-starch.html
Cornflower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cornflower-extract.html
Cotton Seed Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/cotton-seed-oil.html
Cranberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cranberry-extract.html
Cucumber Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cucumber-extract.html
Cucumis Sativus Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cucumis-sativus-fruit-extract.html
Cucurbita Pepo Seed Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/cucurbita-pepo-seed-extract.html
Cupuacu Butter | 1/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/cupuacu-butter.html
Curcuma Longa Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/curcuma-longa-root-extract.html
Cyanocobalamin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/cyanocobalamin.html
Cyclodextrin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/cyclodextrin.html
Cyclohexasiloxane | 0/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/cyclohexasiloxane.html
Cyclomethicone | 0/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/cyclomethicone.html
Cyclopentasiloxane | 0/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/cyclopentasiloxane.html
D&C Red 17 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-17.html
D&C Red 21 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-21.html
D&C Red 27 | 2/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-27.html
D&C Red 30 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-30.html
D&C Red 33 | 2/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-33.html
D&C Red 36 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-36.html
D&C Red 6 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-6.html
D&C Red 7 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-7.html
D&C Red 9 | 3/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/d-c-red-9.html
Daisy Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/daisy-extract.html
Dandelion Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/dandelion-extract.html
Date Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/date-extract.html
Daucus Carota Sativa Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/daucus-carota-sativa-root-extract.html
Decyl Glucoside | 0/5 | Surfactant | FA-trigger: no | https://acnesafecheck.com/ingredient/decyl-glucoside.html
Decyl Oleate | 3/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/decyl-oleate.html
Dehydroacetic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/dehydroacetic-acid.html
Diisopropyl Adipate | 1/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/diisopropyl-adipate.html
Dill Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/dill-extract.html
Dimethicone | 1/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/dimethicone.html
Dimethicone Crosspolymer | 1/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/dimethicone-crosspolymer.html
Dipropylene Glycol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/dipropylene-glycol.html
Disodium Cocoamphodiacetate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/disodium-cocoamphodiacetate.html
Disodium EDTA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/disodium-edta.html
Echinacea Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/echinacea-extract.html
Ectoin | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ectoin.html
Edelweiss Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/edelweiss-extract.html
Elastin | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/elastin.html
Elderflower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/elderflower-extract.html
Equisetum Arvense Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/equisetum-arvense-extract.html
Ergothioneine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ergothioneine.html
Ethanol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ethanol.html
Ethylhexylglycerin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ethylhexylglycerin.html
Eucalyptus Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/eucalyptus-extract.html
Evening Primrose Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/evening-primrose-oil.html
Fennel Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/fennel-extract.html
Fermented Rice Water | 0/5 | Botanical extract | FA-trigger: yes | https://acnesafecheck.com/ingredient/fermented-rice-water.html
Ferulate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ferulate.html
Ferulic Acid | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ferulic-acid.html
Fig Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/fig-extract.html
Folic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/folic-acid.html
Fragrance | 1/5 | Fragrance | FA-trigger: no | https://acnesafecheck.com/ingredient/fragrance.html
Frankincense Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/frankincense-extract.html
Fructose | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/fructose.html
Galactomyces Ferment Filtrate | 0/5 | Botanical extract | FA-trigger: yes | https://acnesafecheck.com/ingredient/galactomyces-ferment-filtrate.html
Garlic Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/garlic-extract.html
Gellan Gum | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/gellan-gum.html
Ginger Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ginger-root-extract.html
Ginkgo Biloba Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ginkgo-biloba-leaf-extract.html
Ginseng Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/ginseng-extract.html
Gluconolactone | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/gluconolactone.html
Glucose | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/glucose.html
Glutathione | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/glutathione.html
Glycereth-26 | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/glycereth-26.html
Glycerin | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/glycerin.html
Glyceryl Caprylate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/glyceryl-caprylate.html
Glyceryl Oleate | 2/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/glyceryl-oleate.html
Glyceryl Stearate | 1/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/glyceryl-stearate.html
Glyceryl Stearate SE | 3/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/glyceryl-stearate-se.html
Glyceryl Undecylenate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/glyceryl-undecylenate.html
Glycine Soja Seed Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/glycine-soja-seed-extract.html
Glycolic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/glycolic-acid.html
Glycyrrhiza Glabra Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/glycyrrhiza-glabra-root-extract.html
Goji Berry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/goji-berry-extract.html
